Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num.1,Pct.1,Num.2,Pct.2,Status,Name,Birthday,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds.1,Y/Rt,TD.1,Fmb,FL,FF,FR,Yds.2,TD.2,Att,Y/A,Pts,TD.3,Int,PD,Yds.3,TD.4,Sfty,Ret,Y/R.1,Yds.4,2PM,Cmp,Att.1,Cmp%,Rate,Y/A.1,AY/A,Yds.5,TD.5,Yds.6,TD.6,Sk.1,Int.1,Yds.7,TD.7,XPM,XPA,XP%,FGM,FGA,FG%,Pnt,Y/P,Blck
1.0,2000.0,2000-09-03,1.0,1.0,23.004,SEA,@,MIA,L 0-23,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,0,5,"",0,0.0%,0.00,"",0,"",0,0,"",0,0,0,0,2,2.50,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2.0,2000.0,2000-09-10,2.0,2.0,23.011,SEA,"",STL,L 34-37,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,18,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,3,6.00,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3.0,2000.0,2000-09-17,3.0,3.0,23.018,SEA,"",NOR,W 20-10,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,2,19,10.50,0,100.0%,10.50,"",21,"",0,0,"",0,0,0,0,5,3.80,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4.0,2000.0,2000-09-24,4.0,4.0,23.025,SEA,@,SDG,W 20-12,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,19,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,3,6.33,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5.0,2000.0,2000-10-02,5.0,5.0,23.033,SEA,@,KAN,L 17-24,*,"","","","","","","","","","","","","",Shaun Alexander,1977-08-30,3,2,74,6.50,1,66.7%,4.33,"",13,"",0,1,1,0,0,0,1,11,6.73,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6.0,2000.0,2000-10-08,6.0,6.0,23.039,SEA,@,CAR,L 3-26,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,0,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,1,0.00,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7.0,2000.0,2000-10-15,7.0,7.0,23.046,SEA,"",IND,L 24-37,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,20,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,5,4.00,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8.0,2000.0,2000-10-22,8.0,8.0,23.053,SEA,@,OAK,L 3-31,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,29,"",0,0.0%,0.00,"",0,"",0,0,"",0,0,0,0,9,3.22,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9.0,2000.0,2000-10-29,9.0,9.0,23.06,SEA,"",KAN,L 19-24,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,2,1,53,7.00,0,50.0%,3.50,"",7,"",0,1,1,0,0,0,0,4,13.25,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10.0,2000.0,2000-11-05,10.0,10.0,23.067,SEA,"",SDG,W 17-15,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,-5,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,4,-1.25,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11.0,2000.0,2000-11-12,11.0,11.0,23.074,SEA,@,JAX,W 28-21,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,13,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,3,4.33,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12.0,2000.0,2000-11-26,12.0,13.0,23.088,SEA,"",DEN,L 31-38,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,1,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,3,0.33,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13.0,2000.0,2000-12-03,13.0,14.0,23.095,SEA,@,ATL,W 30-10,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,5,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,3,1.67,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14.0,2000.0,2000-12-10,14.0,15.0,23.102,SEA,@,DEN,L 24-31,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,16,"",0,0.0%,0.00,"",0,"",0,0,"",0,0,0,0,1,16.00,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15.0,2000.0,2000-12-16,15.0,16.0,23.108,SEA,"",OAK,W 27-24,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,4,"",1,0.0%,"","",0,"",0,0,"",0,0,0,1,2,2.00,6,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16.0,2000.0,2000-12-23,16.0,17.0,23.115,SEA,"",BUF,L 23-42,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,0,0,42,"",0,0.0%,"","",0,"",0,0,"",0,0,0,0,5,8.40,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17.0,2001.0,2001-09-09,1.0,1.0,24.01,SEA,@,CLE,W 9-6,"","","","","","","","","","","","","","",Shaun Alexander,1977-08-30,1,0,3,"",0,0.0%,0.00,"",0,"",0,0,"",0,0,0,0,4,0.75,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
